1783803572,58096,0,0,0,0,0,2.17
1783803573,55924,25,0,0,0,0,0.25
1783803574,55769,41,0,0,0,0,0.00
1783803575,54463,31,0,1,0,0,0.00
1783803576,54952,56,0,0,0,0,0.00
1783803577,60327,37,0,0,0,0,0.00
1783803578,57960,48,0,0,0,0,0.25
1783803579,62684,39,2,2,0,0,0.00
1783803580,61202,46,0,0,0,0,0.00
1783803581,60569,48,0,0,0,0,0.50
1783803582,60472,47,0,1,0,0,0.25
1783803583,58799,44,0,0,0,0,0.25
1783803584,58365,48,0,0,0,0,0.00
1783803585,56762,29,0,0,0,0,0.00
1783803586,57879,47,1,0,0,0,0.00
1783803587,59717,48,0,0,0,0,0.00
1783803588,57997,50,1,1,0,0,0.00
1783803589,58516,36,0,0,0,0,0.00
1783803590,59329,43,1,1,0,0,0.50
1783803591,58289,35,0,0,0,0,0.00
1783803592,58172,45,0,0,0,0,0.25
1783803593,57054,51,0,0,0,0,0.00
1783803594,57971,47,2,2,0,0,0.25
1783803595,57645,43,0,0,0,0,0.74
1783803596,57650,58,0,0,0,0,0.00
1783803597,58987,38,0,0,0,0,0.00
1783803598,57693,30,0,0,0,0,0.25
1783803599,57934,30,0,0,0,0,0.00
1783803600,56987,37,1,0,0,0,0.25
1783803601,60280,50,0,0,0,0,0.50
1783803602,58830,74,0,0,0,0,0.75
1783803603,57007,38,0,0,0,0,0.25
1783803604,56942,78,0,0,0,0,0.50
1783803605,57876,88,2,2,0,0,0.75
1783803606,56233,88,0,0,0,0,0.00
1783803607,60588,97,0,0,0,0,0.75
1783803608,56664,104,0,0,0,0,0.50
1783803609,57905,105,1,1,0,0,0.75
1783803610,56329,103,0,1,0,0,1.48
1783803611,57306,95,0,0,0,0,0.50
1783803612,58449,79,0,0,0,0,0.00
1783803613,58608,98,0,0,0,0,0.00
1783803614,58099,101,0,0,0,0,0.00
1783803615,57254,85,0,0,0,0,0.00
1783803616,55889,88,1,1,0,0,0.00
1783803617,59041,93,0,0,0,0,0.00
1783803618,57821,79,1,1,0,0,0.00
1783803619,56506,90,0,0,0,0,0.00
1783803620,54912,75,0,0,0,0,0.00
1783803621,56649,89,2,2,0,0,0.00
1783803622,58662,95,1,1,0,0,0.25
1783803623,57359,84,0,0,0,0,0.00
1783803624,55054,73,0,0,0,0,0.00
1783803625,55876,73,0,0,0,0,0.00
1783803626,55993,63,1,1,0,0,0.00
1783803627,56757,64,2,1,0,0,0.00
1783803628,56037,73,0,0,0,0,0.50
1783803629,56686,78,1,1,0,0,0.25
1783803630,56704,68,0,0,0,0,0.00
1783803631,55516,57,0,0,0,0,0.25
1783803632,57067,60,1,1,0,0,0.50
1783803633,56838,68,0,0,0,0,0.50
1783803634,58515,63,1,1,0,0,0.00
1783803635,55524,56,0,0,0,0,0.00
1783803636,55419,59,0,0,0,0,0.00
1783803637,59480,51,0,0,0,0,0.50
1783803638,58002,42,0,0,0,0,0.25
1783803639,57467,52,0,0,0,0,0.25
1783803640,54670,57,0,0,0,0,0.25
1783803641,56020,42,1,1,0,0,0.00
1783803642,61017,56,1,1,0,0,0.50
1783803643,58752,70,0,0,0,0,0.00
1783803644,58301,70,0,0,0,0,0.00
1783803645,56885,48,0,0,0,0,0.00
1783803646,55634,66,0,0,0,0,0.25
1783803647,57770,46,0,0,0,0,0.25
1783803648,58941,50,0,0,0,0,0.25
1783803649,55314,61,0,0,0,0,0.00
1783803650,59371,65,1,1,0,0,0.00
1783803651,56130,62,0,0,0,0,0.00
1783803652,65128,46,1,1,0,0,0.00
1783803653,63198,51,0,0,0,0,0.00
1783803654,56600,59,0,0,0,0,0.00
1783803655,55334,49,1,2,0,0,0.00
1783803656,56954,62,0,0,0,0,0.00
1783803657,54740,69,0,0,0,0,0.00
1783803658,62820,42,1,1,0,0,0.00
1783803659,57362,52,0,0,0,0,0.00
1783803660,59069,55,0,0,0,0,0.75
1783803661,55700,53,0,0,0,0,0.00
1783803662,57421,49,1,1,0,0,0.25
1783803663,62142,32,0,0,0,0,0.00
1783803664,57434,32,0,0,0,0,0.00
1783803665,55984,72,0,0,0,0,0.50
1783803666,55200,46,0,0,0,0,0.00
1783803667,54617,52,0,0,0,0,0.25
1783803668,62495,55,0,0,0,0,0.25
1783803669,55780,61,0,0,0,0,0.25
1783803670,55637,61,2,2,0,0,0.50
1783803671,54547,49,0,0,0,0,0.25
1783803672,55178,56,0,0,0,0,0.00
1783803673,62512,52,1,1,0,0,0.50
1783803674,57936,51,2,2,0,0,0.00
1783803675,57322,59,1,1,0,0,0.00
1783803676,55687,59,0,0,0,0,0.25
1783803677,55348,52,1,1,0,0,0.00
1783803678,61858,42,0,0,0,0,0.00
1783803679,56682,56,0,0,0,0,0.00
1783803680,56133,53,1,1,0,0,0.00
1783803681,56213,49,1,1,0,0,0.00
1783803682,55476,46,0,0,0,0,0.00
1783803683,57127,61,0,0,0,0,0.00
1783803684,57406,54,0,0,0,0,0.00
1783803685,55090,53,2,2,0,0,0.25
1783803686,55125,41,0,0,0,0,0.50
1783803687,58473,55,3,3,0,0,0.00
1783803688,66245,45,0,0,0,0,0.75
1783803689,56960,38,0,1,0,0,0.00
1783803690,55970,46,0,0,0,0,0.00
1783803691,55404,40,1,1,0,0,0.00
1783803692,54503,47,2,1,0,0,0.00
1783803693,68657,42,0,0,0,0,0.50
1783803694,56994,58,0,0,0,0,0.00
1783803695,55884,43,1,1,0,0,0.25
1783803696,55533,59,0,0,0,0,0.00
1783803697,55662,56,0,0,0,0,0.00
1783803698,59215,50,0,0,0,0,0.25
1783803699,57007,38,0,0,0,0,0.00
1783803700,55779,52,2,1,0,0,0.25
1783803701,56994,43,2,2,0,0,0.25
1783803702,58114,42,0,0,0,0,0.25
1783803703,65123,49,0,0,0,0,0.25
1783803704,57888,54,0,0,0,0,0.00
1783803705,55560,59,0,0,0,0,0.00
1783803706,56397,47,1,1,0,0,0.00
1783803707,56955,44,0,1,0,0,0.00
1783803708,63715,53,0,0,0,0,0.00
1783803709,55806,45,0,1,0,0,0.00
1783803710,56674,57,0,0,0,0,0.25
1783803711,55614,45,0,0,0,0,0.00
1783803712,54016,13,0,0,0,0,0.00
1783803713,57602,42,1,1,0,0,0.25
1783803714,55297,55,1,1,0,0,0.00
1783803715,54731,55,0,0,0,0,0.25
1783803716,55442,43,0,0,0,0,0.00
1783803717,54707,47,1,1,0,0,0.00
1783803718,57729,56,0,0,0,0,0.25
1783803719,57306,55,0,0,0,0,0.00
1783803720,55455,46,0,0,0,0,0.25
1783803721,54232,46,0,0,0,0,0.00
1783803722,54934,43,1,1,0,0,0.00
1783803723,55394,46,0,0,0,0,0.25
1783803724,56222,34,2,2,0,0,0.00
1783803725,55642,37,0,0,0,0,0.00
1783803726,57338,58,0,0,0,0,0.00
1783803727,56032,56,1,1,0,0,0.75
1783803728,58781,60,0,0,0,0,0.25
1783803729,57231,46,0,0,0,0,0.00
1783803730,56958,32,0,0,0,0,0.00
1783803731,59684,41,1,0,0,0,0.75
1783803732,57964,52,0,0,0,0,0.25
1783803733,59168,66,1,1,0,0,0.25
1783803734,58889,48,1,1,0,0,0.25
1783803735,56813,47,0,0,0,0,0.00
1783803736,56179,53,0,0,0,0,0.25
1783803737,57081,40,0,0,0,0,0.00
1783803738,59889,45,0,0,0,0,0.50
1783803739,59215,46,0,0,0,0,0.25
1783803740,57390,54,0,0,0,0,0.00
1783803741,56657,58,0,0,0,0,0.25
1783803742,56033,54,0,0,0,0,0.25
1783803743,62001,43,1,1,0,0,0.25
1783803744,55690,34,1,1,0,0,0.25
1783803745,56247,45,0,0,0,0,0.00
1783803746,56470,37,0,0,0,0,0.50
1783803747,57080,40,0,1,0,0,0.00
1783803748,59651,52,1,1,0,0,0.50
1783803749,56425,39,0,0,0,0,0.25
1783803750,58568,48,1,1,0,0,0.00
1783803751,56895,63,0,0,0,0,0.25
1783803752,57776,70,0,0,0,0,1.00
1783803753,60970,47,0,0,0,0,0.00
1783803754,58404,51,0,0,0,0,0.00
1783803755,56447,55,0,0,0,0,0.00
1783803756,56619,38,0,0,0,0,0.25
1783803757,56382,44,0,0,0,0,0.00
1783803758,58273,47,0,0,0,0,0.25
1783803759,58940,37,0,1,0,0,0.25
1783803760,56051,55,0,0,0,0,0.00
1783803761,57642,36,0,0,0,0,0.00
1783803762,55990,39,1,1,0,0,0.00
1783803763,56874,40,0,0,0,0,0.00
1783803764,59072,44,0,0,0,0,0.75
1783803765,56176,40,1,1,0,0,0.00
1783803766,56815,40,0,0,0,0,0.00
1783803767,57713,40,0,0,0,0,0.00
1783803768,57812,39,0,0,0,0,0.00
1783803769,58429,36,1,1,0,0,0.75
1783803770,58952,48,1,1,0,0,0.25
1783803771,56270,49,0,0,0,0,0.00
1783803772,56438,68,0,0,0,0,0.25
1783803773,56772,48,0,0,0,0,0.25
1783803774,59845,48,0,1,0,0,0.00
1783803775,55546,53,0,0,0,0,0.25
1783803776,58728,35,0,1,0,0,0.00
1783803777,59556,30,1,0,0,0,0.00
1783803778,56772,48,2,2,0,0,0.00
1783803779,57950,45,1,1,0,0,0.00
1783803780,58719,47,0,0,0,0,0.75
1783803781,56986,51,0,0,0,0,0.25
1783803782,58549,34,0,1,0,0,0.00
1783803783,56425,37,1,2,0,0,0.25
1783803784,59670,43,0,0,0,0,0.25
1783803785,57506,57,0,0,0,0,0.50
1783803786,57063,36,0,0,0,0,0.00
1783803787,56897,62,0,0,0,0,0.25
1783803788,57785,47,0,0,0,0,0.25
1783803789,58783,44,0,0,0,0,0.00
1783803790,55946,46,1,1,0,0,0.25
1783803791,56626,54,0,0,0,0,0.25
1783803792,55805,54,0,0,0,0,0.00
1783803793,56520,44,0,0,0,0,0.00
1783803794,57975,41,0,0,0,0,0.75
1783803795,58335,55,0,1,0,0,0.50
1783803796,57546,42,0,0,0,0,0.00
1783803797,58885,41,0,0,0,0,0.25
1783803798,56446,35,1,1,0,0,0.00
1783803799,58968,45,2,2,0,0,0.00
1783803800,57433,46,0,0,0,0,0.25
1783803801,55934,46,2,2,0,0,0.00
1783803802,59526,32,1,1,0,0,0.50
1783803803,56543,36,1,1,0,0,0.25
1783803804,59725,36,0,0,0,0,0.25
1783803805,57406,42,1,1,0,0,0.25
1783803806,56493,42,0,0,0,0,0.25
1783803807,57117,33,0,0,0,0,0.25
1783803808,54683,38,0,0,0,0,0.00
1783803809,64581,50,0,0,0,0,0.50
1783803810,56996,41,0,0,0,0,0.25
1783803811,56559,50,0,0,0,0,0.25
1783803812,57787,46,0,0,0,0,0.00
1783803813,63736,49,0,1,0,0,0.00
1783803814,58591,39,0,0,0,0,0.25
1783803815,56833,51,0,0,0,0,0.25
1783803816,56334,53,0,0,0,0,0.00
1783803817,56315,44,0,0,0,0,0.50
1783803818,56387,34,0,0,0,0,0.25
1783803819,58125,37,1,1,0,0,0.25
1783803820,55843,33,0,0,0,0,0.00
1783803821,56208,46,0,0,0,0,0.00
1783803822,56461,38,1,2,0,0,0.00
1783803823,55860,51,0,0,0,0,0.00
1783803824,57092,50,0,0,0,0,0.25
1783803825,56711,45,0,0,0,0,0.25
1783803826,56200,56,1,1,0,0,0.50
1783803827,57317,39,0,0,0,0,0.25
1783803828,56729,40,0,0,0,0,0.00
1783803829,57955,41,0,0,0,0,0.25
1783803830,57401,58,0,0,0,0,0.25
1783803831,56125,46,1,1,0,0,0.50
1783803832,55902,42,0,0,0,0,0.00
1783803833,55827,44,0,1,0,0,0.00
1783803834,56843,50,0,1,0,0,0.50
1783803835,57858,48,0,0,0,0,0.00
1783803836,57112,52,1,1,0,0,0.00
1783803837,62124,43,0,0,0,0,0.00
1783803838,56006,55,1,1,0,0,0.00
1783803839,55757,40,0,0,0,0,0.25
1783803840,58118,46,0,0,0,0,0.00
1783803841,56070,38,1,0,0,0,0.00
