Seconds,Nanoseconds,Temp_C,Power_W,Throttled_Hex,RSS_KB,CPU_MHz,Reconnect_Count
1783804121,700947338,37.8,2.07,0x0,8880,1500,0
1783804126,741334750,37.8,2.08,0x0,8880,1500,0
1783804131,781658516,37.8,2.06,0x0,8880,1500,0
1783804136,821960692,37.8,2.08,0x0,8880,1500,0
1783804141,862362665,37.3,2.05,0x0,8880,1500,0
1783804146,902812862,37.3,2.05,0x0,8880,1500,0
1783804151,943210895,38.4,2.09,0x0,8880,1500,0
1783804156,983516171,37.8,2.09,0x0,8880,1500,0
1783804162,23893523,38.4,2.09,0x0,8880,1500,0
1783804167,64293082,37.3,2.09,0x0,8880,1500,0
1783804172,104621144,37.3,2.11,0x0,8880,1500,0
1783804177,144950412,38.4,2.07,0x0,8880,1500,0
1783804182,185306758,37.8,2.07,0x0,8880,1500,0
1783804187,225714051,38.9,2.05,0x0,8880,1500,0
1783804192,265963274,38.9,2.07,0x0,8880,1500,0
1783804197,306279592,38.4,2.07,0x0,8880,1500,0
1783804202,346559859,37.3,2.07,0x0,8880,1500,0
1783804207,386851649,38.4,2.29,0x0,8880,1500,0
1783804212,427327034,38.4,2.04,0x0,8880,1500,0
1783804217,467555591,37.3,2.02,0x0,8880,1500,0
1783804222,507823411,36.7,2.05,0x0,8880,1500,0
1783804227,548110606,38.4,2.08,0x0,8880,1500,0
1783804232,588345620,37.8,2.05,0x0,8880,1500,0
1783804237,628762899,38.4,2.06,0x0,8880,1500,0
1783804242,669169348,38.4,2.02,0x0,8880,1500,0
1783804247,709525858,38.9,2.05,0x0,8880,1500,0
1783804252,750035670,37.8,2.03,0x0,8880,1500,0
1783804257,790354246,37.3,2.06,0x0,8880,1500,0
1783804262,830712716,37.3,2.06,0x0,8880,1500,0
1783804267,871344025,36.7,2.05,0x0,8880,1500,0
1783804272,911712970,37.3,2.05,0x0,8880,1500,0
1783804277,951988827,37.8,2.07,0x0,8880,1500,0
1783804282,992300654,38.9,2.10,0x0,8880,1500,0
1783804288,32609264,36.7,2.08,0x0,8880,1500,0
1783804293,72942917,37.3,2.02,0x0,8880,1500,0
1783804298,113357187,37.8,2.09,0x0,8880,1500,0
1783804303,153751779,38.4,2.06,0x0,8880,1500,0
1783804308,194028989,37.8,2.08,0x0,8880,1500,0
1783804313,234391353,37.8,2.05,0x0,8880,1500,0
1783804318,274732946,37.3,2.04,0x0,8880,1500,0
1783804323,315113490,37.8,2.05,0x0,8880,1500,0
1783804328,355384837,37.3,2.07,0x0,8880,1500,0
1783804333,395724007,37.3,2.07,0x0,8880,1500,0
1783804338,435986091,37.3,2.06,0x0,8896,1500,0
1783804343,476190034,38.4,2.06,0x0,8896,1500,0
1783804348,516655651,37.3,2.10,0x0,8896,1500,0
1783804353,557147498,38.4,2.03,0x0,8896,1500,0
1783804358,597557741,38.4,2.05,0x0,8896,1500,0
1783804363,637956214,38.4,2.08,0x0,8896,1500,0
1783804368,678212529,36.7,2.02,0x0,8896,1500,0
1783804373,718485073,38.9,2.07,0x0,8896,1500,0
1783804378,758841144,37.3,2.06,0x0,8896,1500,0
1783804383,799144094,37.3,2.06,0x0,8896,1500,0
1783804388,839556978,37.3,2.03,0x0,8896,1500,0
1783804393,879835370,38.4,2.10,0x0,8896,1500,0
1783804398,920273511,37.8,2.04,0x0,8896,1500,0
1783804403,960574050,37.3,2.26,0x0,8896,1500,0
1783804409,841393,38.4,2.05,0x0,8896,1500,0
1783804414,41329894,37.3,2.06,0x0,8896,1500,0
1783804419,81605625,37.8,2.08,0x0,8896,1500,0
1783804424,122012902,37.8,2.04,0x0,8896,1500,0
1783804429,162259078,37.8,2.04,0x0,8896,1500,0
1783804434,202563522,37.3,2.25,0x0,8896,1500,0
1783804439,242790086,37.8,2.06,0x0,8896,1500,0
1783804444,283195011,37.3,2.06,0x0,8896,1500,0
1783804449,323553408,38.9,2.05,0x0,8896,1500,0
1783804454,363867037,38.4,2.46,0x0,8896,1500,0
1783804459,404128361,37.3,2.06,0x0,8896,1500,0
1783804464,444427695,38.4,2.22,0x0,8896,1500,0
1783804469,484738279,38.4,2.05,0x0,8896,1500,0
1783804474,525163169,37.8,2.07,0x0,8896,1500,0
1783804479,565478754,37.8,2.05,0x0,8896,1500,0
1783804484,605810645,37.3,2.06,0x0,8896,1500,0
1783804489,646176066,37.3,2.05,0x0,8896,1500,0
1783804494,686492403,38.9,2.25,0x0,8896,1500,0
1783804499,726759788,37.8,2.04,0x0,8896,1500,0
1783804504,767135239,37.8,2.08,0x0,8896,1500,0
1783804509,807532830,37.8,2.06,0x0,8896,1500,0
1783804514,847873061,38.4,2.08,0x0,8896,1500,0
1783804519,888187395,37.3,2.06,0x0,8896,1500,0
1783804524,928518924,38.4,2.10,0x0,8896,1500,0
1783804529,968930076,37.8,2.02,0x0,8896,1500,0
1783804535,9269461,38.4,2.06,0x0,8896,1500,0
1783804540,49967837,38.9,2.02,0x0,8896,1500,0
1783804545,90199336,37.3,2.05,0x0,8896,1500,0
1783804550,130429532,37.8,2.07,0x0,8896,1500,0
1783804555,170667794,37.3,2.04,0x0,8896,1500,0
1783804560,210949012,37.3,2.09,0x0,8896,1500,0
1783804565,251238092,37.3,2.04,0x0,8896,1500,0
1783804570,291529314,38.9,2.04,0x0,8896,1500,0
1783804575,331837380,37.3,2.06,0x0,8896,1500,0
1783804580,372124587,37.8,2.05,0x0,8896,1500,0
1783804585,412424880,37.8,2.05,0x0,8896,1500,0
1783804590,456742532,37.3,2.05,0x0,8896,1500,0
1783804595,501104752,37.8,2.06,0x0,8896,1500,0
1783804600,541557320,37.3,2.07,0x0,8896,1500,0
1783804605,581743845,38.4,2.08,0x0,8896,1500,0
1783804610,622088474,38.4,2.06,0x0,8896,1500,0
1783804615,662386430,38.4,2.06,0x0,8896,1500,0
1783804620,702776842,36.7,2.06,0x0,8896,1500,0
1783804625,743443952,37.3,2.05,0x0,8896,1500,0
1783804630,783880018,37.8,2.07,0x0,8896,1500,0
1783804635,824358429,37.8,2.06,0x0,8896,1500,0
1783804640,864939019,38.4,2.05,0x0,8896,1500,0
1783804645,905329252,37.3,2.72,0x0,8896,1500,0
1783804650,945663552,37.3,2.04,0x0,8976,1500,0
1783804655,986210291,38.4,2.05,0x0,8976,1500,0
1783804661,30821167,38.9,2.05,0x0,8976,1500,0
1783804666,71152153,37.8,2.04,0x0,8976,1500,0
1783804671,111497262,37.8,2.05,0x0,8976,1500,0
1783804676,151927903,37.8,2.06,0x0,8976,1500,0
1783804681,192164927,38.9,2.06,0x0,8976,1500,0
1783804686,232441871,38.4,2.09,0x0,8976,1500,0
1783804691,272711680,38.9,2.08,0x0,8976,1500,0
1783804696,312999854,38.4,2.09,0x0,8976,1500,0
1783804701,353338170,38.4,2.08,0x0,8976,1500,0
1783804706,393575480,36.7,2.06,0x0,8976,1500,0
1783804711,433876619,38.9,2.05,0x0,8976,1500,0
1783804716,474166252,37.8,2.06,0x0,8976,1500,0
1783804721,514590416,37.3,2.03,0x0,8976,1500,0
1783804726,554916946,37.3,2.05,0x0,8976,1500,0
1783804731,599482392,37.8,2.07,0x0,8976,1500,0
1783804736,643808592,37.8,2.06,0x0,8976,1500,0
1783804741,684064624,37.8,2.22,0x0,8976,1500,0
1783804746,724450114,38.9,2.05,0x0,8976,1500,0
1783804751,764721729,37.3,2.06,0x0,8976,1500,0
1783804756,804954191,37.3,2.07,0x0,8976,1500,0
1783804761,845283500,38.9,2.06,0x0,8976,1500,0
1783804766,885615841,38.9,2.07,0x0,8976,1500,0
1783804771,926061806,37.8,2.08,0x0,8976,1500,0
1783804776,966258915,37.3,2.04,0x0,8976,1500,0
1783804782,6514501,37.3,2.07,0x0,8976,1500,0
1783804787,147412969,37.3,2.06,0x0,8976,1500,0
1783804792,187635952,37.3,2.11,0x0,8976,1500,0
1783804797,328478021,38.4,2.06,0x0,8976,1500,0
1783804802,368803792,37.8,2.06,0x0,8976,1500,0
1783804807,509560629,37.8,2.08,0x0,8976,1500,0
1783804812,549899187,37.3,2.05,0x0,8976,1500,0
1783804817,690438164,38.4,2.07,0x0,8976,1500,0
1783804822,730802546,37.8,2.07,0x0,8976,1500,0
1783804827,871366162,37.3,2.07,0x0,8976,1500,0
1783804832,911773998,37.8,2.26,0x0,8976,1500,0
1783804838,52369790,37.8,2.01,0x0,8976,1500,0
1783804843,92640211,38.9,2.06,0x0,8976,1500,0
1783804848,233298272,37.3,2.03,0x0,8976,1500,0
1783804853,273824017,37.8,2.06,0x0,8976,1500,0
1783804858,418090473,38.9,2.07,0x0,8976,1500,0
1783804863,458437339,37.3,2.07,0x0,8976,1500,0
1783804868,599188032,37.3,2.11,0x0,8976,1500,0
1783804873,639744797,38.4,2.05,0x0,8976,1500,0
1783804878,680108207,37.8,2.11,0x0,8976,1500,0
1783804883,720538317,37.3,2.06,0x0,8976,1500,0
1783804888,760952423,37.3,2.03,0x0,8976,1500,0
1783804893,801419802,38.9,2.07,0x0,8976,1500,0
1783804898,841836308,36.7,2.05,0x0,8976,1500,0
1783804903,882234236,38.9,2.05,0x0,8976,1500,0
1783804908,922553864,37.3,2.08,0x0,8976,1500,0
1783804913,962999914,37.8,2.06,0x0,8976,1500,0
1783804919,3273164,37.3,2.07,0x0,8976,1500,0
1783804924,43658281,38.9,2.07,0x0,8976,1500,0
1783804929,83977320,38.4,2.04,0x0,8976,1500,0
1783804934,124365319,38.4,2.06,0x0,8976,1500,0
1783804939,164750610,38.4,2.04,0x0,8976,1500,0
1783804944,205225546,37.8,2.05,0x0,8976,1500,0
1783804949,245652719,38.4,2.06,0x0,8976,1500,0
1783804954,286037278,37.8,2.06,0x0,8976,1500,0
1783804959,326443482,38.9,2.06,0x0,8976,1500,0
1783804964,366811423,37.3,2.02,0x0,8976,1500,0
1783804969,407394175,37.3,2.03,0x0,8976,1500,0
1783804974,447701777,38.4,2.04,0x0,8976,1500,0
1783804979,488006449,38.9,2.08,0x0,8976,1500,0
1783804984,528331543,38.9,2.04,0x0,8976,1500,0
1783804989,568607857,37.3,2.05,0x0,8976,1500,0
1783804994,609050742,37.8,2.06,0x0,8976,1500,0
1783804999,649435494,37.3,2.07,0x0,8976,1500,0
1783805004,689830965,37.8,2.23,0x0,8976,1500,0
1783805009,730131007,38.4,2.08,0x0,8976,1500,0
1783805014,770784990,37.3,2.03,0x0,8976,1500,0
1783805019,811164433,37.3,2.06,0x0,8976,1500,0
1783805024,851573152,37.8,2.07,0x0,8976,1500,0
1783805029,892087478,37.8,2.05,0x0,8976,1500,0
1783805034,932437838,38.4,2.07,0x0,8976,1500,0
1783805039,972783122,38.4,2.04,0x0,8976,1500,0
1783805045,13177625,39.5,2.09,0x0,8976,1500,0
1783805050,53485385,38.9,2.04,0x0,8976,1500,0
1783805055,93799864,37.3,2.05,0x0,8976,1500,0
1783805060,134587858,38.4,2.06,0x0,8976,1500,0
1783805065,175018183,37.3,2.03,0x0,8976,1500,0
1783805070,215567023,37.3,2.10,0x0,8976,1500,0
1783805075,255873047,37.3,2.06,0x0,8976,1500,0
1783805080,296266383,37.3,2.30,0x0,8976,1500,0
1783805085,336712456,37.3,2.08,0x0,8976,1500,0
1783805090,377253638,37.3,2.11,0x0,8976,1500,0
1783805095,417549114,37.3,2.10,0x0,8976,1500,0
1783805100,458050884,37.8,2.04,0x0,8976,1500,0
1783805105,498644095,37.3,2.08,0x0,8976,1500,0
1783805110,539030119,38.4,2.07,0x0,8976,1500,0
1783805115,579447178,38.9,2.27,0x0,8976,1500,0
1783805120,619899419,36.7,2.05,0x0,8976,1500,0
1783805125,660297417,37.3,2.09,0x0,8976,1500,0
1783805130,700658005,37.3,2.05,0x0,8976,1500,0
1783805135,741119035,37.8,2.10,0x0,8976,1500,0
1783805140,781436637,36.7,2.07,0x0,8976,1500,0
1783805145,821913107,36.7,2.26,0x0,8976,1500,0
1783805150,862339389,38.4,2.05,0x0,8976,1500,0
1783805155,902826706,37.8,2.05,0x0,8976,1500,0
1783805160,943289225,37.3,2.05,0x0,8976,1500,0
1783805165,983920222,37.8,2.06,0x0,8976,1500,0
1783805171,24535310,37.3,2.07,0x0,8976,1500,0
1783805176,64794859,37.8,2.05,0x0,8976,1500,0
1783805181,105438128,37.3,2.05,0x0,8976,1500,0
1783805186,145813302,37.3,2.05,0x0,8976,1500,0
1783805191,186131863,37.8,2.06,0x0,8976,1500,0
1783805196,226512718,37.3,2.07,0x0,8976,1500,0
1783805201,266857979,37.8,2.06,0x0,8976,1500,0
1783805206,307337181,37.8,2.06,0x0,8976,1500,0
1783805211,347611012,39.5,2.04,0x0,8976,1500,0
1783805216,387981933,37.8,2.47,0x0,8976,1500,0
1783805221,428333167,38.4,2.05,0x0,8976,1500,0
1783805226,468888657,38.9,2.05,0x0,8976,1500,0
1783805231,509253887,37.3,2.07,0x0,8976,1500,0
1783805236,549665670,38.4,2.07,0x0,8976,1500,0
1783805241,589973508,37.3,2.05,0x0,8976,1500,0
1783805246,630337917,36.7,2.03,0x0,8976,1500,0
1783805251,670734565,37.3,2.03,0x0,8976,1500,0
1783805256,711047525,38.4,2.05,0x0,8976,1500,0
1783805261,751484818,38.9,2.02,0x0,8976,1500,0
1783805266,791865886,37.3,2.08,0x0,8976,1500,0
1783805271,832198156,36.7,2.07,0x0,8976,1500,0
1783805276,872562147,37.8,2.03,0x0,8976,1500,0
1783805281,913022395,37.8,2.05,0x0,8976,1500,0
1783805286,953430215,37.3,2.10,0x0,8976,1500,0
1783805291,993698608,37.3,2.15,0x0,8976,1500,0
1783805297,34091647,38.4,2.05,0x0,8976,1500,0
1783805302,74482258,38.4,2.05,0x0,8976,1500,0
1783805307,114840331,37.8,2.04,0x0,8976,1500,0
1783805312,155268328,37.3,2.06,0x0,8976,1500,0
1783805317,195669378,37.3,2.09,0x0,8976,1500,0
1783805322,236158650,37.3,2.08,0x0,8976,1500,0
1783805327,276611197,37.3,2.05,0x0,8976,1500,0
1783805332,317124965,37.3,2.04,0x0,8976,1500,0
1783805337,357432027,38.9,2.08,0x0,8976,1500,0
1783805342,397882607,37.3,2.24,0x0,8976,1500,0
1783805347,438284407,37.8,2.08,0x0,8976,1500,0
1783805352,478618206,37.3,2.03,0x0,8976,1500,0
1783805357,519067799,37.3,2.07,0x0,8976,1500,0
1783805362,559387817,37.3,2.06,0x0,8976,1500,0
1783805367,599707037,36.7,2.14,0x0,8976,1500,0
1783805372,640279330,38.4,2.08,0x0,8976,1500,0
1783805377,680757454,38.4,2.05,0x0,8976,1500,0
1783805382,721162281,38.4,2.09,0x0,8976,1500,0
1783805387,761448236,37.3,2.04,0x0,8976,1500,0
1783805392,801933967,37.8,2.08,0x0,8976,1500,0
1783805397,842461159,37.3,2.06,0x0,8976,1500,0
1783805402,882866776,37.8,2.09,0x0,8976,1500,0
1783805407,923497114,37.8,2.06,0x0,8976,1500,0
1783805412,964085691,38.4,2.09,0x0,8976,1500,0
1783805418,4565730,36.7,2.04,0x0,8976,1500,0
1783805423,45067287,37.3,2.07,0x0,8976,1500,0
1783805428,85527249,37.3,2.04,0x0,8976,1500,0
1783805433,125905154,37.3,2.07,0x0,8976,1500,0
1783805438,166421743,37.8,2.06,0x0,8976,1500,0
1783805443,207004923,37.3,2.05,0x0,8976,1500,0
1783805448,247452010,37.3,2.07,0x0,8976,1500,0
1783805453,287906817,36.7,2.05,0x0,8976,1500,0
1783805458,328265327,38.9,2.05,0x0,8976,1500,0
1783805463,368599280,37.3,2.05,0x0,8976,1500,0
1783805468,409041213,37.3,2.07,0x0,8976,1500,0
1783805473,449541201,38.9,2.05,0x0,8976,1500,0
1783805478,490186261,38.4,2.05,0x0,8976,1500,0
1783805483,530548524,37.8,2.23,0x0,8976,1500,0
1783805488,571112638,37.3,2.25,0x0,8976,1500,0
1783805493,611687028,37.8,2.08,0x0,8976,1500,0
1783805498,652167269,37.3,2.05,0x0,8976,1500,0
1783805503,692969489,37.8,2.06,0x0,8976,1500,0
1783805508,733465005,37.3,2.04,0x0,8976,1500,0
1783805513,773856780,37.8,2.06,0x0,8976,1500,0
1783805518,814240720,38.4,2.03,0x0,8976,1500,0
1783805523,854628177,37.3,2.06,0x0,8976,1500,0
1783805528,895089819,38.4,2.04,0x0,8976,1500,0
1783805533,935527478,36.7,2.04,0x0,8976,1500,0
1783805538,976022302,37.8,2.23,0x0,8976,1500,0
1783805544,20471917,37.3,2.18,0x0,8976,1500,0
1783805549,65072068,37.8,2.04,0x0,8976,1500,0
1783805554,105496185,38.4,2.05,0x0,8976,1500,0
1783805559,145931191,37.3,2.03,0x0,8976,1500,0
1783805564,186198880,37.8,2.06,0x0,8976,1500,0
1783805569,226489143,37.8,2.05,0x0,8976,1500,0
1783805574,266792387,37.3,2.02,0x0,8976,1500,0
1783805579,307236814,37.8,2.05,0x0,8976,1500,0
1783805584,347558610,37.3,2.06,0x0,8976,1500,0
1783805589,387883573,37.8,2.05,0x0,8976,1500,0
1783805594,428279201,37.8,2.05,0x0,8976,1500,0
1783805599,468669458,37.8,2.11,0x0,8976,1500,0
1783805604,509228287,38.4,2.05,0x0,8976,1500,0
1783805609,549507412,38.9,2.07,0x0,9008,1500,0
1783805614,593973587,38.9,2.07,0x0,9008,1500,0
1783805619,634330155,37.8,2.06,0x0,9008,1500,0
1783805624,674866351,37.8,2.05,0x0,9008,1500,0
1783805629,715420547,37.3,2.05,0x0,9008,1500,0
1783805634,755983501,37.8,2.03,0x0,9008,1500,0
1783805639,796325046,38.9,2.04,0x0,9008,1500,0
1783805644,836723517,38.9,2.08,0x0,9008,1500,0
1783805649,877113505,37.8,2.03,0x0,9008,1500,0
1783805654,917485900,38.9,2.12,0x0,9008,1500,0
1783805659,958095942,37.3,2.06,0x0,9008,1500,0
1783805664,998493687,37.3,2.07,0x0,9008,1500,0
1783805670,39068376,36.2,2.05,0x0,9008,1500,0
1783805675,83450762,37.8,2.05,0x0,9008,1500,0
1783805680,127878389,37.3,2.27,0x0,9008,1500,0
1783805685,168472093,37.3,2.04,0x0,9008,1500,0
1783805690,209104130,38.9,2.04,0x0,9008,1500,0
1783805695,249569611,38.9,2.02,0x0,9008,1500,0
1783805700,289851943,38.4,2.06,0x0,9008,1500,0
1783805705,330225811,38.4,2.04,0x0,9008,1500,0
1783805710,370665771,37.8,2.04,0x0,9008,1500,0
1783805715,411056174,38.4,2.06,0x0,9008,1500,0
1783805720,451497929,37.8,2.01,0x0,9008,1500,0
